# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  138       6.409645188560e-10       1.407682335045e-13      -5.977250316299e-12       0.000000000000e+00       1.884184774620e-12       7.115641332278e-13      -4.035069795236e-15 
  139       6.461749100675e-10       1.411022309710e-13      -6.018421586882e-12       0.000000000000e+00       1.842098744508e-12       6.998705858611e-13      -3.975241235814e-15 
  140       6.513788101517e-10       1.413808154333e-13      -6.057027081555e-12       0.000000000000e+00       1.801144542479e-12       6.884283637702e-13      -3.915703805733e-15 
  141       6.565754735090e-10       1.416041566778e-13      -6.093006182814e-12       0.000000000000e+00       1.761315250812e-12       6.772371882916e-13      -3.856479474975e-15 
  142       6.617641032409e-10       1.417725022556e-13      -6.126299059287e-12       0.000000000000e+00       1.722599425571e-12       6.662956719784e-13      -3.797587557108e-15 
  143       6.669438497757e-10       1.418861790765e-13      -6.156846699710e-12       0.000000000000e+00       1.684980985535e-12       6.556012904065e-13      -3.739044627468e-15 
  144       6.721138094936e-10       1.419455950024e-13      -6.184590946894e-12       0.000000000000e+00       1.648439101132e-12       6.451503539800e-13      -3.680864441345e-15 
  145       6.772730233521e-10       1.419512404415e-13      -6.209474531698e-12       0.000000000000e+00       1.612948083362e-12       6.349379797372e-13      -3.623057852164e-15 
  146       6.824204755115e-10       1.419036899417e-13      -6.231441106996e-12       0.000000000000e+00       1.578477272735e-12       6.249580631567e-13      -3.565632729661e-15 
  147       6.875550919598e-10       1.418036037846e-13      -6.250435281654e-12       0.000000000000e+00       1.544990928193e-12       6.152032499628e-13      -3.508593878074e-15 
  148       6.926757391385e-10       1.416517295792e-13      -6.266402654498e-12       0.000000000000e+00       1.512448116049e-12       6.056649079314e-13      -3.451942954319e-15 
  149       6.977812225674e-10       1.414489038559e-13      -6.279289848284e-12       0.000000000000e+00       1.480802598910e-12       5.963330986962e-13      -3.395678386171e-15 
  150       7.028702854703e-10       1.411960536596e-13      -6.289044543668e-12       0.000000000000e+00       1.450002724610e-12       5.871965495539e-13      -3.339795290452e-15 
  151       7.079416074002e-10       1.408941981445e-13      -6.295615513182e-12       0.000000000000e+00       1.419991315141e-12       5.782426252706e-13      -3.284285391207e-15 
  152       7.129938028646e-10       1.405444501670e-13      -6.298952655200e-12       0.000000000000e+00       1.390705555582e-12       5.694572998873e-13      -3.229136937887e-15 
  153       7.180255400124e-10       1.401480256141e-13      -6.299007351243e-12       0.000000000000e+00       1.362089678364e-12       5.608281798419e-13      -3.174339339723e-15 
  154       7.230359119991e-10       1.397062690083e-13      -6.295733503766e-12       0.000000000000e+00       1.334134576272e-12       5.523539488149e-13      -3.119897725657e-15 
  155       7.280240976750e-10       1.392206333321e-13      -6.289086660035e-12       0.000000000000e+00       1.306841676334e-12       5.440357509909e-13      -3.065819587873e-15 
  156       7.329892438683e-10       1.386926741274e-13      -6.279023732792e-12       0.000000000000e+00       1.280210429840e-12       5.358742060849e-13      -3.012110129903e-15 
  157       7.379304646224e-10       1.381240511281e-13      -6.265503035864e-12       0.000000000000e+00       1.254238266437e-12       5.278693966879e-13      -2.958772208829e-15 
  158       7.428468404324e-10       1.375165298938e-13      -6.248484319783e-12       0.000000000000e+00       1.228920548230e-12       5.200208556130e-13      -2.905806277487e-15 
  159       7.477374174818e-10       1.368719834430e-13      -6.227928807409e-12       0.000000000000e+00       1.204250523871e-12       5.123275532419e-13      -2.853210326667e-15 
  160       7.526012068797e-10       1.361923938857e-13      -6.203799229539e-12       0.000000000000e+00       1.180219282663e-12       5.047878848700e-13      -2.800979827311e-15 
